Code,Decoder,Error_rate,Shots,Fails,BP_hyperparams
n72k12d6,BP,0.0008,10000000,619,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.0009,10000000,943,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.001,10000000,1299,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.0015,10000000,6167,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.002,5000000,9635,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.003,1000000,10967,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.004,1000000,39130,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.005,100000,10241,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.006,100000,20723,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.007,10000,3471,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.008,10000,5081,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.009,10000,6541,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP,0.01,10000,7829,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.0008,10000000,496,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.0009,10000000,746,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.001,10000000,1006,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.0015,10000000,4392,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.002,5000000,6516,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.003,1000000,6984,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.004,1000000,25246,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.005,100000,7021,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.006,100000,15072,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.007,10000,2692,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.008,10000,4235,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.009,10000,5718,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,AutBP-36,0.01,10000,7141,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP+OSD0,0.0008,10000000,547,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
n72k12d6,BP+OSD0,0.0009,10000000,823,"{'maxiter': 10000, 'ms': 1.0, 'schedule': 'parallel'}"
