Code,Decoder,Error_rate,Shots,Fails,BP_hyperparams
rm15,BP,0.0001,10000000,3658,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.0005,10000000,18198,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.001,10000000,36576,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.005,1000000,18744,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.009,1000000,34425,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.011,100000,4231,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.018,100000,7106,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.022,100000,8844,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.025,100000,10059,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.05,100000,20851,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.07,100000,29388,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.1,100000,41195,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.0001,10000000,3653,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.0005,10000000,18334,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.001,10000000,36592,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.005,1000000,18866,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.009,1000000,34502,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.011,100000,4253,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.018,100000,7114,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.022,100000,8809,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.025,100000,10092,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
rm15,BP,0.05,100000,20850,"{'maxiter': 15, 'ms': 1.0, 'schedule': 'parallel'}"
